keys,en
"Spokojna, jasna noc. +1 ciepła, +1 energii następnego dnia.","A calm, clear night. +1 warmth, +1 energy the next day."
Spokojny wieczór,A calm evening
"Spomiędzy czarnych pni sączą się głosy. Nie śpisz całą noc. -1 zdrowia, -2 energii następnego dnia.","Voices seep from between the black trunks. You do not sleep all night. -1 health, -2 energy the next day."
Spopielone Pustkowie,Ashen Wasteland
Sprawdź sidła,Check the snares
Spędź kilka godzin nad wodą.,Spend a few hours by the water.
"Stada zaropiałych ptaków obsiadają obóz i plądrują zapasy. -2 jedzenia, -1 zdrowia.","Flocks of festering birds settle on the camp and plunder the supplies. -2 food, -1 health."
Stado saren pasie się na polanie. Jedną udaje ci się podejść. +1 jedzenia.,A herd of deer grazes in the clearing. You manage to stalk one. +1 food.
"Stare tunele rozwarły się głębiej, niż powinny. Strop jęczy bez przerwy.",The old tunnels have opened deeper than they should. The ceiling groans without pause.
Stare ślady,Old tracks
Start: ,Start: 
Stary pustelnik,Old hermit
Stałe ujęcie wody na miejscu. Możesz nabrać większy zapas za energię.,A permanent water source on site. You can draw a bigger supply for energy.
Stoki osuwają się po ulewach. Kamienie jadą w dół razem z błotem.,The slopes give way after the downpours. Stones slide down along with the mud.
Strateg,Strategist
Strop jaskini sypie się bez ostrzeżenia. -2 zdrowia.,The cave ceiling crumbles without warning. -2 health.
Studnia,Well
Sucha okolica obozu odbiera dodatkowe nawodnienie. -%d nawodnienia.,The dry country around the camp drains extra hydration. -%d hydration.
Suchy chrust,Dry kindling
Suchy skład na opał i budulec. Zwiększa limit drewna.,A dry store for firewood and building material. Raises the wood cap.
Suchy upał,Dry heat
Sukces,Success
Surowe skały bogate w kamień. Zima przychodzi tu pierwsza.,Raw rocks rich in stone. Winter comes here first.
Surowiec za prowiant — przejezdny handlarz nie przepuści okazji.,Resources for provisions — the passing trader will not miss a deal.
Suszone mięso,Dried meat
Sycący gulasz,Hearty stew
Synchronizacja pionowa (VSync),Vertical sync (VSync)
Sypiesz wał z kamieni i gałęzi — osłona przed nocą i odrobina ciepła.,You pile a rampart of stones and branches — cover for the night and a little warmth.
"Sytość
Spada każdej nocy.
Jeśli jest niska, zapasy jedzenia są automatycznie zjadane.","Satiety
Drops every night.
When it is low, food supplies are eaten automatically."
Sytość %d/%d,Satiety %d/%d
Sytość 8/10,Satiety 8/10
Sytość jest już pełna.,Satiety is already full.
Sytość spadła do 0: tracisz zdrowie z głodu (-%d zdrowia).,Satiety hit 0: hunger is costing you health (-%d health).
Szałas,Hut
Szałas osłania cię przed atakiem.,The hut shields you from the attack.
Szałas osłania cię przed nocą.,The hut shields you from the night.
Szczury,Rats
Nieszczelny bukłak,Leaky waterskin
"Zapas wody wyciekł w nocy. -2 wody.","Your water stock leaked out overnight. -2 water."
Nadgryzione zapasy,Gnawed-at supplies
"Coś przegrzebało zapasy w nocy. -1 jedzenia, -1 wody.","Something rummaged through your supplies overnight. -1 food, -1 water."
Szept w ciemności,A whisper in the dark
Szept z czerni,A whisper out of the black
Sztorm,Sea storm
Szukaj kamienia,Scavenge
Szum fal,Sound of the waves
Szum nurtu,Murmur of the current
Szybciej marznie,Freezes faster
Szybsze psucie jedzenia,Faster food spoilage
Słoneczny poranek,Sunny morning
Słony szkwał,Salt squall
Słońce gaśnie w południe. Z wiecznego mroku wypełzają zmarznięte istoty.,The sun dies at noon. Frozen creatures crawl out of the eternal dark.
Słońce wschodzi blade i zimne. Cień trwa dłużej niż powinien.,The sun rises pale and cold. The shadows last longer than they should.
"Słońce zgasło, mróz wgryza się w kości. -2 ciepła (schronienie chroni).","The sun has gone out, frost gnaws into your bones. -2 warmth (shelter protects)."
Ta akcja biomu nie jest już dostępna.,This biome action is no longer available.
Ta akcja budynku była już użyta dzisiaj.,This building action was already used today.
Ta budowla nie jest już dostępna.,This structure is no longer available.
Talia,Deck
"Talia: %d kart, ręka: %d, stos dnia: %d","Deck: %d cards, hand: %d, day pile: %d"
Tańczące świetliki,Dancing fireflies
Tańszy ruch po mapie,Cheaper movement on the map
Tej karty nie da się zagrać.,This card cannot be played.
Tej karty nie ma już w ręce.,This card is no longer in your hand.
Temperatura spada poniżej zera. -3 ciepła (schronienie chroni).,The temperature drops below zero. -3 warmth (shelter protects).
Ten budynek działa pasywnie.,This building works passively.
Ten kafel nie sąsiaduje z twoją pozycją.,This tile is not adjacent to your position.
Ten rejon jest już zabezpieczony.,This region is already secured.
To ruina — można ją tylko rozebrać.,It is a ruin — all you can do is tear it down.
To są akcje dostępne na aktualnym biomie. Na lesie możesz pozyskać drewno. Przeciągnij kartę Rąb drewno na kartkę logów albo na obecny kafel.,These are the actions available on the current biome. In the forest you can gather wood. Drag the Chop wood card onto the log sheet or the current tile.
"To talia akcji dobrana na bieżący dzień. Zagraj Źródło, aby uzupełnić wodę, oraz Zbieractwo, aby zdobyć jedzenie i poprawić sytość.","This is the action deck drawn for today. Play Spring to top up water, and Foraging to get food and improve satiety."
Topielec,Drowned one
Trafiasz na powalone drzewo. +2 drewna.,You come across a fallen tree. +2 wood.
"Trawa gnije na stojąco, a ziemia mlaszcze pod stopami.","The grass rots where it stands, and the ground squelches underfoot."
"Trawa zapada się w cuchnącą breję, która wsiąka w buty i zapasy. -1 jedzenia, -1 zdrowia.","The grass sinks into stinking sludge that soaks into your boots and supplies. -1 food, -1 health."
"Trawi cię gorączka. -2 zdrowia, -1 energii następnego dnia.","A fever consumes you. -2 health, -1 energy the next day."
Trawy ociekają chłodną rosą — zbierasz ją do bukłaka. +1 wody.,The grasses drip with cool dew — you collect it into your waterskin. +1 water.
Treść,Body
Tropy zwierzyny,Animal tracks
Trudne warunki: każdy ruch kosztuje dziś +%d energii.,Hard going: every move today costs +%d energy.
Trujące Mokradła,Poisonous Wetlands
Trupi wyziew,Cadaver stench
Trupia woda,Corpse water
Trupy w nurcie,Corpses in the current
Trzepot nietoperzy,Flutter of bats
Trzymaj się z dala,Keep your distance
"Tumany pyłu zasypują obóz i wdzierają się w płuca. -1 zdrowia, -1 energii następnego dnia.","Clouds of dust bury the camp and force their way into your lungs. -1 health, -1 energy the next day."
"Tutaj pojawia się zapis przebiegu runu. Log pokazuje faktyczne koszty, zdobyte zasoby, modyfikatory pory roku oraz efekty budynków.","The record of your run appears here. The log shows real costs, gathered resources, season modifiers and building effects."
Tuż przy obozie ziemia rozstępuje się z hukiem. Ledwo uskakujesz. -2 zdrowia.,Right by the camp the ground splits open with a roar. You barely leap aside. -2 health.
"Twardziel — +3 HP, a potwory zadają ci o 1 mniej obrażeń. Masz większy apetyt (+1 głodu/dzień) i budujesz drożej (+1 energii).",Tough as nails — +3 HP and monsters deal 1 less damage to you. A bigger appetite (+1 hunger/day) and building costs more (+1 energy).
Twoja specjalność — prawdziwy posiłek z zapasów.,Your specialty — a real meal from your supplies.
Twoje zdrowie spadło do zera. Koniec.,Your health dropped to zero. The end.
Twój oddech wraca echem od skalnych ścian. Sen przychodzi płytko i nerwowo. -1 energii następnego dnia.,Your breath echoes back off the rock walls. Sleep comes shallow and jittery. -1 energy the next day.
"Twój wywar leczy ciało, grzeje i odrobinę nasyca — prawdziwa apteczka w kubku.","Your brew heals the body, warms you and even fills you a little — a first-aid kit in a cup."
Twój wywar stawia na nogi.,Your brew puts you back on your feet.
Twórcy,Credits
Tylko się ogrzej,Just warm up
Tylko: ,Only: 
Tysiące zębów w ścianach. Rano budynki są cieńsze.,Thousands of teeth in the walls. By morning the buildings are thinner.
Tysiące świetlików migoce nad trawą jak żywe gwiazdy. Śpisz spokojniej niż zwykle. +1 energii następnego dnia.,Thousands of fireflies flicker over the grass like living stars. You sleep more soundly than usual. +1 energy the next day.
Tytuł,Title
"Tłusta padlina kusi zapachem, choć skóra pod sierścią pulsuje czymś żywym.","The fat carcass tempts with its scent, though the skin under the fur pulses with something alive."
Ucieka w mrok z pustymi rękami.,He flees into the dark empty-handed.
Uczta,Feast
Udane łowy — pełna spiżarnia.,A successful hunt — a full pantry.
Ulepszenie: %s → %s.,Upgrade: %s → %s.
Ulewa,Downpour
Upał wysusza gardło: nocne pragnienie spada o 1 mocniej.,The heat parches your throat: nightly thirst drops 1 point harder.
Usmaż mimo to (ryzyko),Fry it anyway (risky)
Ustawienia,Settings
Użycie zużywa %s (-%d HP).,Use wears down %s (-%d HP).
Użyj,Use
Użyj ziół,Use herbs
Użyto,Used
Użyć akcji budynku?,Use the building's action?
W blasku ogniska ściany jaskini iskrzą się tysiącem kryształów. Odłupujesz kilka twardych odłamków. +1 kamienia.,In the campfire's glow the cave walls sparkle with a thousand crystals. You chip off a few hard shards. +1 stone.
W ciemności coś leżało — łup zdobyty.,Something was lying in the dark — loot claimed.
W mroku jaskini trudno o sen i odpoczynek. -1 energii następnego dnia.,"In the dark of the cave, sleep and rest come hard. -1 energy the next day."
"W oddali dogasa czyjeś ognisko. Nie widać, czy ktoś jeszcze przy nim siedzi.",Someone's campfire is dying down in the distance. You cannot tell if anyone still sits by it.
"W rozedrganym powietrzu majaczy postać z ognia i popiołu. Idzie za tobą. -1 zdrowia, -1 energii następnego dnia.","In the shimmering air a figure of fire and ash looms. It follows you. -1 health, -1 energy the next day."
W skalnych sadzawkach po odpływie zostają muszle i gładkie krzemienie. +1 kamienia.,Shells and smooth flints remain in the rock pools after the tide. +1 stone.
W zamian opatruje twoje rany.,In return she dresses your wounds.
WYNIK,RESULT
Walcz o wszystko (ryzyko),Fight for everything (risky)
Warsztat,Workshop
Warta,Watch
Warta osłania cię przed atakiem.,The watch shields you from the attack.
Warta łagodzi skutki nocy.,The watch softens the night's toll.
Warta: tej nocy mniej oberwiesz od zdarzeń i potworów.,Watch: tonight you will take less from events and monsters.
"Wataha krąży wokół obozu. -3 zdrowia, -1 jedzenia.","The pack circles the camp. -3 health, -1 food."
Wbiegnij po zapasy (ryzyko),Run in for the supplies (risky)
"Wejdź w Budowanie i sprawdź, co możesz postawić na aktualnym biomie. Budynki mają koszt, HP i efekt.

Przykład: Ognisko pomaga z ciepłem nocą, Studnia daje wodę, Spiżarnia pomaga z jedzeniem. Po zbudowaniu kliknij budynek na kaflu, żeby zobaczyć jego opis i akcje.","Enter Building and check what you can place on the current biome. Buildings have a cost, HP and an effect.

Example: the Campfire helps with warmth at night, the Well gives water, the Pantry helps with food. Once built, click the building on the tile to see its description and actions."
Wespnij się i przepatrz okolicę.,Climb up and survey the area.
Wezbrana rzeka,Swollen river
Weź co na wierzchu,Take what is on top
"Wiatr odsłania kości zwierząt i ludzi, ułożone jak drogowskazy donikąd. Ten widok nie daje ci zasnąć. -2 energii następnego dnia.","The wind uncovers the bones of animals and people, arranged like signposts to nowhere. The sight will not let you sleep. -2 energy the next day."
Wiatr w szczelinach brzmi jak głosy. Nie schodź w doliny.,The wind in the crevices sounds like voices. Do not go down into the valleys.
"Wiatr zwiewa z grani drobny śnieg, który wciska się wszędzie. -1 ciepła.","The wind blows fine snow off the ridge, and it forces its way in everywhere. -1 warmth."
Wiatrołom,Windfall
Wichura i pioruny szaleją całą noc. -3 zdrowia (schronienie chroni).,Gale and lightning rage all night. -3 health (shelter protects).
Wieczna zmarzlina,Permafrost
Wielki gad sunie przez zalane uliczki obozu.,A great reptile glides through the flooded lanes of the camp.
Wielkie polowanie,The great hunt
"Wiesz już, gdzie szukać — z jednej wyprawy znosisz pełne naręcze.",You know where to look now — one trip brings back a full armful.
Wieża obserwacyjna,Watchtower
Wilgotny chłód,Damp chill
Wilgoć mokradeł wnika w kości i trzęsie tobą gorączka. -2 zdrowia.,The damp of the wetlands seeps into your bones and fever shakes you. -2 health.
"Wilgoć wsiąka we wszystko — zapasy pokrywa śluzowaty rozkład. -2 jedzenia, -1 zdrowia.","The damp soaks into everything — a slimy rot covers the supplies. -2 food, -1 health."
Wilki,Wolves
Wiosna,Spring
"Wiosna
Buff: akcje zbierające jedzenie dają +1 jedzenia.
Debuff: brak.","Spring
Buff: food-gathering actions give +1 food.
Debuff: none."
"Wir lodowych odłamków, który tnie wszystko na swojej drodze.",A whirl of ice shards that cuts everything in its path.
Większe pragnienie,Greater thirst
Większy głód,Greater hunger
Wnyki,Snare trap
Wnyki przyjmują cios — unikasz ataku potwora.,The snares take the blow — you avoid the monster's attack.
"Woda
Zapas automatycznie pity nocą, gdy nawodnienie jest niskie.","Water
A supply drunk automatically at night when hydration is low."
Woda 1/8,Water 1/8
"Woda cuchnie zgnilizną. -2 wody, -1 zdrowia.","The water reeks of rot. -2 water, -1 health."
Woda podchodzi nocą i zalewa legowisko. -1 energii następnego dnia.,The water rises in the night and floods your bedding. -1 energy the next day.
Woda podchodzi pod obóz. Grunt zamienia się w błoto.,The water is closing in on the camp. The ground is turning to mud.
"Woda płynie gęsta i ciemna, niosąc trupi odór z górnego biegu.","The water flows thick and dark, carrying a corpse stench from upstream."
Woda w naczyniach pokryła się rano cienkim lodem.,By morning the water in the vessels was covered with thin ice.
Woda wdarła się do spiżarni i zniszczyła część jedzenia. -2 jedzenia.,Water broke into the pantry and destroyed part of the food. -2 food.
"Woda zalewa wszystko. Zapasy gniją, a z mętnych nizin nadciąga zaraza.","Water floods everything. Supplies rot, and plague drifts in from the murky lowlands."
"Woda zamarza w bukłakach, a jedzenie pokrywa szron i kruszy się w lód. -2 nawodnienia, -1 jedzenia.","Water freezes in the waterskins, and the food frosts over and crumbles into ice. -2 hydration, -1 food."
"Woda zaszła zgnilizną, a spod mułu sączy się czarna maź.","The water has gone foul, and black ooze seeps from under the silt."
Wodny wąż,Water snake
Wojskowy,Soldier
Wojskowy dryl,Military drill
Wokół obozu krąży głodne zwierzę. Zapolujesz czy je odstraszysz?,A hungry animal circles the camp. Will you hunt it or scare it off?
Wolniej marznie,Freezes slower
Wolniejsze psucie jedzenia,Slower food spoilage
"Wpadasz do środka, gdy ściany jęczą nad głową.",You dash inside as the walls groan overhead.
Wpadasz w wir pracy — każda kolejna dzisiejsza karta dodaje ci sił.,You fall into a working rhythm — every further card today gives you strength.
Wpław po nią (ryzyko),Swim for it (risky)
"Wraca z zalanych nizin, ociekając zimną wodą.","It returns from the flooded lowlands, dripping with cold water."
Wracasz do gry. Dzień %d z %d.,Back to the game. Day %d of %d.
Wróć do menu,Return to menu
Wstecz,Back
Wstrząs wtórny,Aftershock
Wszechobecna zgnilizna,Rot everywhere
Wszystkie postacie odblokowane,All characters unlocked
Wybielone kości,Bleached bones
Wybierz kartę do talii (obecnie: %d kart),Pick a card for your deck (currently: %d cards)
Wybrzeże,Coast
"Wybór: %s
Noc: %s","Choice: %s
Night: %s"
"Wychudły drapieżnik o lodowym oddechu, poluje w watasze.",A gaunt predator with icy breath; it hunts in a pack.
Wycie w szczelinach,Howling in the crevices
Wyciskasz z siebie wszystko ponad granicę. Jutro zapłacisz zmęczeniem.,You squeeze out everything past your limit. Tomorrow you will pay in fatigue.
"Wyciągasz, co da się dosięgnąć bez schodzenia.",You pull out what you can reach without climbing down.
"Wyciągasz, co łatwo dostępne.",You pull out what is within easy reach.
Wydobycie kamienia,Stone mining
Wydobądź kamień,Mine stone
Wygasłe,Burnt out
Wyjdź,Quit
Wyjące Góry,Howling Mountains
Wykorzystane dzisiaj.,Used up for today.
"Wykładasz przynętę: łapiesz trochę zwierzyny, a pułapka czeka na nocnego gościa.","You lay out bait: you catch some game, and the trap waits for a night visitor."
Wymaga aktywnego budynku.,Requires an active building.
Wymaga aktywnego ogniska.,Requires an active campfire.
Wymiana: drewno,Trade: wood
Wymiana: jedzenie,Trade: food
Wymiana: kamień,Trade: stone
Wymieniacie się szybko i rozchodzicie bez walki.,You trade quickly and part ways without a fight.
"Wymieniasz nadmiar kamienia na to, co naprawdę trzyma przy życiu.",You trade excess stone for what actually keeps you alive.
Wymień się,Trade
Wypatruj zagrożeń,Watch for threats
Wypełza z ciemności i obgryza belki budowli.,It crawls out of the darkness and gnaws the beams of your buildings.
Wyrusz na cały dzień w nieznane.,Set out for a whole day into the unknown.
Wyrusz na polowanie w głąb lasu.,Set out to hunt deep into the forest.
Wyrusz w nieznane tereny.,Set out into unknown lands.
Wyrzuć,Discard
Wysoko nad łąką dzwonią skowronki. Serce robi się lżejsze. +1 zdrowia.,High above the meadow the larks are ringing. Your heart grows lighter. +1 health.
"Wysysa ciepło z obozu. Tam, gdzie przejdzie, zostaje szron.",It drains the warmth from the camp. Frost remains wherever it passes.
Wyszukaj zioła i przygotuj okład.,Find herbs and prepare a poultice.
Wysłuchaj rad,Listen to his advice
Wytwórz narzędzia,Craft tools
Wyziewy obozu wywołują chorobę nocą (-%d zdrowia).,The camp's fumes bring on sickness in the night (-%d health).
Wyziewy z rozpadliny,Fumes from the crevice
"Wyłuskujesz z lodu to, co łatwo dostępne.",You pick out of the ice what is within easy reach.
"Wzburzone fale niosą tłustą maź, która oblepia zapasy i naczynia. -1 jedzenia, -1 nawodnienia, -1 zdrowia.","The rough waves carry a greasy sludge that coats supplies and vessels. -1 food, -1 hydration, -1 health."
Wzmocniony schron,Reinforced shelter
Wznów,Resume
Wędkowanie,Fishing
Wędrowiec,Nomad
Wędrowiec dzieli się wiedzą o okolicy.,The wanderer shares his knowledge of the area.
"Wędrówka między kaflami jest darmowa. Startujesz z zapasami (+2 jedzenia, +2 wody), ale ciągły marsz wyziębia (+1 ciepła/dzień) i spala kalorie (+1 głodu/dzień).","Travelling between tiles is free. You start with supplies (+2 food, +2 water), but the constant march chills you (+1 warmth/day) and burns calories (+1 hunger/day)."
Wściekła Rzeka,Raging River
Wśród kęp trafiasz na lecznicze ziela o ostrym zapachu. +1 zdrowia.,Among the tufts you find healing herbs with a sharp scent. +1 health.
X,X
Z cienia wychodzi wychudzony człowiek o gorączkowych oczach. Wyciąga rękę.,A gaunt man with feverish eyes steps out of the shadow. He holds out his hand.
Z desek składasz gotowe elementy.,You assemble ready-made parts from planks.
"Z dolin pełznie nienaturalny chłód, który gasi ogień i wolę działania. -2 ciepła, -1 energii następnego dnia (schronienie chroni).","An unnatural cold creeps up from the valleys, dousing fires and the will to act. -2 warmth, -1 energy the next day (shelter protects)."
"Z gnijących kałuż wzbija się tnąca chmara owadów. Nie dają zmrużyć oka. -1 zdrowia, -1 energii następnego dnia.","A cutting cloud of insects rises from the rotting puddles. They will not let you sleep. -1 health, -1 energy the next day."
Z gruzów wznosisz twierdzę o grubych murach.,From the rubble you raise a stronghold with thick walls.
"Z głębin sączy się rozgrzany, trujący opar, który parzy płuca i gasi ognie. -2 zdrowia, -1 ciepła.","A heated, poisonous vapour seeps from the depths, scalding lungs and dousing fires. -2 health, -1 warmth."
Z mętnej wody wypełza kłębowisko żądnych krwi pijawek.,A writhing mass of bloodthirsty leeches crawls out of the murky water.
"Z nieba spada lepka, ciemna rosa. -1 ciepła, -1 wody.","A sticky, dark dew falls from the sky. -1 warmth, -1 water."
"Z ołowianego nieba leje bez końca lodowata ulewa, która przemacza do kości. -2 ciepła, -1 zdrowia.","An icy downpour streams endlessly from the leaden sky, soaking you to the bone. -2 warmth, -1 health."
"Z rozpadlin bucha gryzący pył, który zatyka usta i wysusza gardło. -2 nawodnienia, -1 energii następnego dnia.","Acrid dust erupts from the crevices, clogging your mouth and drying your throat. -2 hydration, -1 energy the next day."
Z rusztowań i klinów drewna wyłupujesz przydatny kamień.,From scaffolds and wooden wedges you pry out useful stone.
Z wdzięczności zostawia ci mapę okolicy.,In gratitude he leaves you a map of the area.
Z wieży strażnicy wypatrują zagrożeń.,Guards watch for threats from the tower.
Za mało drewna (potrzeba %d).,Not enough wood (need %d).
Za mało energii (potrzeba %d).,Not enough energy (need %d).
Za mało jedzenia (potrzeba %d).,Not enough food (need %d).
Za mało kamienia (potrzeba %d).,Not enough stone (need %d).
Za ścianą ciemności leżą nietknięte zapasy. Tylko jak trafić tam i wrócić?,Untouched supplies lie beyond a wall of darkness. But how to get there and back?
Zabarykaduj się,Barricade yourself in
Zabezpiecz,Secure
Zabezpiecz rejon,Secure region
"Zabezpieczasz rejon: %s (%s; -%d%% obrażeń w razie katastrofy, %d%% szans na zwykłe zużycie HP przed kryzysem).","You secure the region: %s (%s; -%d%% damage during the disaster, %d%% chance of normal HP wear before the crisis)."
Zabezpieczony rejon chroni %s przed zużyciem.,The secured region protects %s from wear.
Zabezpieczyć rejon?,Secure the region?
Zabierasz mu zapasy.,You take his supplies.
Zabierz mu zapasy (ryzyko),Take his supplies (risky)
Zabierz plecak (ryzyko),Take the backpack (risky)
Zabierz tylko z wierzchu,Take only from the top
Zabierz żar i drewno (ryzyko),Take the embers and wood (risky)
Zacisnąć zęby,Grit your teeth
Zadaszony skład na kamień. Zwiększa limit kamienia.,A roofed store for stone. Raises the stone cap.
Zagraj ponownie,Play again
Zakopana skrytka,Buried cache
Zakończ samouczek,Finish tutorial
Zalane zapasy,Flooded supplies
Zamarznięte zapasy,Frozen supplies
Zamarznięte Łąki,Frozen Meadows
Zamarznięty obóz,Frozen camp
Zamieć drapieżna,Predatory blizzard
Zamknij,Close
Zapadłe Bagno,Sunken Swamp
Zapasy ukryte na szlaku — w sam raz na teraz.,Supplies hidden along the trail — just what you need right now.
"Zapasy: jedzenie %d/%d, woda %d/%d, drewno %d/%d, kamień %d/%d, narzędzia: %s","Supplies: food %d/%d, water %d/%d, wood %d/%d, stone %d/%d, tools: %s"
Zapał,Zeal
Zapał: każda kolejna karta dziś zwraca +1 energii.,Zeal: every further card today refunds +1 energy.
Zapoluj (ryzyko),Hunt it (risky)
"Zaprawiony w terenie i wytrzymały (+1 HP) — mniej go suszy (−1 pragnienia/dzień) i startuje z zapasem kamienia.","Field-hardened and tough (+1 HP) — dries out less (−1 thirst/day) and starts with a stock of stone."
Zapędzony szabrownik,Cornered looter
Zarażony wilk,Infected wolf
Zarodniki w powietrzu,Spores in the air
Zarzuć sieci,Cast the nets
Zastaw wnyki na zwierzynę.,Set snares for game.
Zastawiasz sidła wokół obozu — pierwszy nocny napastnik w nie wpadnie.,You set snares around the camp — the first night attacker will walk into them.
Zastawiasz wnyki — pierwszy nocny napastnik wpadnie w pułapkę.,You set the snare trap — the first night attacker will fall into it.
Zatopione Wybrzeże,Drowned Coast
Zatrute Jaskinie,Poisoned Caves
Zaćmienie,Eclipse
"Zaćmienie: wieczny mróz wysysa ciepło, a mrok kradnie sen (-2 energii dziennie).","Eclipse: the eternal frost drains warmth, and the dark steals sleep (-2 energy per day)."
Zbadaj (ryzyko),Investigate (risky)
Zbiera wodę z deszczu. Co noc daje 1 wodę i lekko zwiększa limit.,Collects rainwater. Gives 1 water every night and slightly raises the cap.
Zbieractwo,Foraging
Zbieractwo: Spiżarka,Foraging: Larder
Zbierasz połamane przez wiatr konary — szybki opał bez wielkiego wysiłku.,You collect boughs snapped by the wind — quick fuel without much effort.
"Zbierasz wyschnięte korzenie i połamane deski w spalonej ziemi. +1 drewna, -1 nawodnienia.","You gather dried-out roots and broken boards from the scorched earth. +1 wood, -1 hydration."
Zbierz co na wierzchu,Gather what is on top
Zbierz deszczówkę,Collect rainwater
Zbierz jagody i korzonki w okolicy.,Gather berries and roots in the area.
Zbierz plon,Gather the harvest
"Zbuduj Ognisko, przeciągając jego kartę na obecny biom albo na kartkę logów. Ognisko dodaje ciepło podczas nocy, ale stopniowo traci HP.","Build a Campfire by dragging its card onto the current biome or the log sheet. The campfire adds warmth during the night, but gradually loses HP."
Zbuduj osadę. Przetrwaj katastrofę. Dotrwaj do dnia 50.,Build a settlement. Survive the disaster. Make it to day 50.
Zdarzenie nocne,Night event
Zdarzenie: %s,Event: %s
Zdarzenie: %s — %s,Event: %s — %s
"Zdrowie
Gdy spadnie do 0, run się kończy.
Tracisz je od ran, potworów i pustych potrzeb.","Health
When it hits 0, the run ends.
You lose it to wounds, monsters and empty needs."
Zdrowie 10/10,Health 10/10
Zdrowie jest już pełne.,Health is already full.
Zdrowie: %s,Health: %s
Ze stropu sączy się czysta woda — podstawiasz naczynia. +1 wody.,Clean water trickles from the ceiling — you set out your vessels. +1 water.
"Ze szczelin sączy się bezbarwny, słodkawy gaz. Głowa pęka, płuca palą. -1 zdrowia, -1 energii następnego dnia.","A colourless, sweetish gas seeps from the cracks. Your head splits, your lungs burn. -1 health, -1 energy the next day."
"Ze szczelin sączy się czarna maź, a echo niesie nieludzkie skrzeki.","Black ooze seeps from the cracks, and the echo carries inhuman shrieks."
"Ze szczelin w gruncie unosi się gorący, siarkowy pył.","Hot, sulphurous dust rises from the cracks in the ground."
Zejdź głębiej (ryzyko),Climb deeper (risky)
Zgnilec,Rotter
Zgniłe jagody,Rotten berries
Zgniłe Łąki,Rotten Meadows
Zgubiony szlak,Lost trail
Zielarka,Herbalist
Zielarnia,Herbalist's hut
"Zielonkawa poświata nie gaśnie. -1 energii następnego dnia, +1 kamienia z popiołu.","The greenish glow does not fade. -1 energy the next day, +1 stone from the ash."
Ziemia drży coraz częściej. W skałach pojawiają się rysy.,The earth trembles more and more often. Cracks appear in the rocks.
"Ziemia faluje, a zgromadzony budulec zsuwa się w nowo otwartą szczelinę. -2 kamienia, -1 zdrowia.","The ground rolls, and your stored materials slide into a newly opened crevice. -2 stone, -1 health."
Ziemia pęka z hukiem. Z rozpadlin bucha pył i wypełzają istoty z głębi.,The earth splits with a roar. Dust erupts from the crevices and creatures crawl up from the deep.
"Ziemia spieczona katastrofą pęka w ostre szklane igły, raniąc stopy i niszcząc sprzęt. -1 zdrowia, -1 kamienia.","Ground baked by the disaster cracks into sharp glass needles, cutting feet and ruining gear. -1 health, -1 stone."
"Ziemia spieczona na popiół, a w powietrzu wisi gryzący, trujący pył.","The earth is baked to ash, and an acrid, poisonous dust hangs in the air."
Ziemia zadrżała w nocy. Coś nadchodzi. -1 ciepła.,The earth trembled in the night. Something is coming. -1 warmth.
Ziemia zadrżała. Na horyzoncie stoi zielonkawa łuna.,The earth trembled. A greenish glow stands on the horizon.
"Ziemia znów drży. Sprzęt się rozsypuje, a sen ucieka. -1 zdrowia, -1 energii następnego dnia.","The earth is trembling again. Gear falls apart and sleep escapes you. -1 health, -1 energy the next day."
Zignoruj,Ignore it
Zima,Winter
"Zima
Buff: brak.
Debuff: nocny spadek ciepła jest o 1 mocniejszy.","Winter
Buff: none.
Debuff: nightly warmth loss is 1 point harsher."
Zimna noc,Cold night
Zimne Wybrzeże,Cold Coast
Zimne podmuchy przewiewają obóz. -1 ciepła.,Cold gusts blow through the camp. -1 warmth.
Zimny biom obozu wychładza cię nocą. -%d ciepła.,The cold biome of your camp chills you overnight. -%d warmth.
Zimorodek,Kingfisher
Zimowa noc odbiera dodatkowe ciepło. -%d ciepła.,The winter night takes extra warmth. -%d warmth.
Zioła lecznicze,Healing herbs
Zioła: Mocny wywar,Herbs: Strong brew
Zjadasz porcję jedzenia (+%d sytości).,You eat a portion of food (+%d satiety).
Zjedz teraz (ryzyko),Eat now (risky)
Zjedz zapas,Eat a supply
Zmarznięty podróżny,Freezing traveller
"Zmuszasz ciało, by zniosło chłód — kosztem paru sił.",You force your body to bear the cold — at the cost of some strength.
"Znajdujesz deszczówkę i jagody. +1 wody, +1 jedzenia.","You find rainwater and berries. +1 water, +1 food."
Znajdujesz gniazdo pełne jaj. +2 jedzenia.,You find a nest full of eggs. +2 food.
"Znajdujesz krzak nieznanych owoców. Kuszące, ale czy bezpieczne?","You find a bush of unknown fruit. Tempting, but is it safe?"
Znalezisko,Lucky find
Znasz już najlepsze ujęcie — nabierasz pełen zapas czystej wody.,You know the best source by now — you draw a full supply of clean water.
Zostaw to,Leave it
Zostaw zmarłego,Leave the dead man
Zostawiasz go własnemu losowi.,You leave him to his fate.
Zostań w obozie,Stay in camp
Zrywasz się i pędzisz przez ostępy — następne przejście dziś nic nie kosztuje.,You spring up and race through the wilds — the next move today costs nothing.
Zużycie budynków: %s.,Building wear: %s.
